순번(No),시설물명,시설물구분,시설물종류,종별,관리주체구분,항목명,위치
99,도랫말지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 138.0 m, 차로수 : 4",경기도 군포시
100,나진지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 366.0 m, 차로수 : 1",경기도 김포시
101,마송지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 156.5 m, 차로수 : 4",경기도 김포시
102,운양2지하차도,터널,지하차도,2종,공공,"형식 : 2련box,라멘구조 / 연장 : 132.0 m, 차로수 : 6",경기도 김포시
103,덕송지하차도,터널,지하차도,2종,공공,"형식 : Box / 연장 : 400.0 m, 차로수 : 4",경기도 남양주시
104,돌팍지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 160.0 m, 차로수 : 4",경기도 남양주시
105,동연평지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 640.0 m, 차로수 : 4",경기도 남양주시
106,별내지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 495.0 m, 차로수 : 4",경기도 남양주시
107,용신지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 620.0 m, 차로수 : 4",경기도 남양주시
108,용정2교(지하차도),터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 100.0 m, 차로수 : 2",경기도 남양주시
109,호평지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 240.0 m, 차로수 : 4",경기도 남양주시
110,화접지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 560.0 m, 차로수 : 4",경기도 남양주시
111,고강지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 490.0 m, 차로수 : 6",경기도 부천시
112,당아래지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 140.0 m, 차로수 : 6",경기도 부천시
113,동남지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 460.0 m, 차로수 : 4",경기도 부천시
114,상동지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 235.3 m, 차로수 : 4",경기도 부천시
115,금곡IC지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 170.0 m, 차로수 : 2",경기도 성남시
116,낙생지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 120.0 m, 차로수 : 4",경기도 성남시
117,낙원지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 225.0 m, 차로수 : 10",경기도 성남시
118,대원지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 380.0 m, 차로수 : 4",경기도 성남시
119,도촌지하차도,터널,지하차도,2종,공공,"형식 : 2-Arch / 연장 : 100.0 m, 차로수 : 4",경기도 성남시
120,돌마지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 117.0 m, 차로수 : 4",경기도 성남시
121,동막지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 128.0 m, 차로수 : 2",경기도 성남시
122,두밀지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 278.0 m, 차로수 : 4",경기도 성남시
