지리정보(WKT),지형지물부호,관리번호,행정읍면동,도엽번호,도로구간번호,지하차도명,총연장,총면적,구체연장,구체면적,구체높이,일반제원_통행제한 높이,폭원_계,폭원_차도,왕복차로수,대장초기화여부
"MULTIPOLYGON (((234132.820129395 423955.980102539,234130.180114746 423952.150085449,234128.840087891 423954.660095215,234131.970092773 423959.230102539,234137.830078125 423967.790100098,234149.820129395 423985.300109863,234153.530090332 423990.730102539,234155.870117188 423989.360107422,234150.840087891 423982.070129395,234140.410095215 423966.960083008,234132.820129395 423955.980102539)))",지하차도,24,대전광역시 유성구 ,36710036,108097,,36,116.23,0,0,2.5,0,0,0,1,1
"MULTIPOLYGON (((230880.510070801 418284.230102539,230879.610107422 418284.150085449,230878.280090332 418284.550109863,230873.010070801 418286.840087891,230781.210083008 418326.230102539,230773.270080566 418329.930114746,230675.490112305 418371.480102539,230631.970092773 418390.140075684,230631.960083008 418390.310119629,230641.120117188 418411.280090332,230641.760070801 418411.190124512,230734.900085449 418371.690124512,230773.180114746 418355.450073242,230887.050109863 418306.680114746,230888.600097656 418306.00012207,230889.370117188 418305.220092773,230889.870117188 418303.940124512,230889.680114746 418302.570129395,230882.470092773 418285.470092773,230881.640075684 418284.660095215,230880.510070801 418284.230102539)))",지하차도,25,대전광역시 유성구 ,36710054,44768,유성지하차도,270,6382.81,0,0,0,0,0,0,10,1
"MULTIPOLYGON (((231499.785009743 416911.047002371,231499.899985743 416922.391994381,231500.138993743 416931.41599439,231500.525073743 416938.622074397,231500.737105743 416942.5850824,231501.469105744 416953.975098411,231502.278065745 416963.36908242,231503.429073746 416973.751098429,231505.004081747 416986.286074441,231506.478097749 416996.23609045,231507.156113749 417000.633114454,231537.755121778 417123.405082569,231542.078129782 417134.481082579,231547.463057787 417148.430106592,231550.51812979 417155.599130599,231554.628113794 417164.127066607,231559.513137798 417174.095098616,231566.303089805 417186.924058628,231573.964113812 417201.275098641,231582.226065819 417215.492122654,231587.953137825 417225.163098663,231593.34008183 417233.877082672,231598.456113834 417241.807130679,231603.97710584 417250.233082687,231610.121105845 417259.078138695,231616.605105851 417268.351066704,231622.450065857 417276.349114711,231627.136113861 417282.767098717,231632.903089867 417290.202074724,231639.840081873 417298.989082732,231641.669137875 417301.179066734,231654.294129886 417289.421082723,231647.12513788 417280.366074715,231641.009105874 417272.721114708,231634.977105868 417264.5230667,231629.413073863 417256.930106693,231623.301073858 417248.268122685,231616.275089851 417237.981082675,231610.219121845 417228.889114667,231604.960081841 417219.961114659,231600.786065837 417213.050106652,231598.557137835 417209.053114648,231595.170097831 417203.346138643,231592.257073829 417198.359130639,231588.850097826 417192.294138633,231585.723089823 417186.810106628,231582.71806582 417181.186106623,231579.362129817 417174.792122617,231577.374097815 417171.143130613,231574.044113812 417164.633114607,231570.252081808 417156.7531146,231566.332081805 417148.676090592,231564.052113802 417143.956122588,231562.131089801 417139.237114583,231559.348081798 417132.355098577,231556.859121796 417125.884090571,231554.546065794 417119.681082565,231553.824081793 417117.751098563,231524.235121765 416998.269114452,231522.886097764 416989.462106444,231521.179089762 416975.792122431,231519.476081761 416960.117114417,231518.68510576 416950.756090408,231517.920113759 416938.759098397,231517.917105759 416938.685114397,231517.470993759 416928.222010387,231517.263985759 416915.531002375,231517.314993759 416903.282010364,231517.591985759 416891.839002353,231518.20699376 416880.202010342,231518.90900976 416870.135994333,231519.905009761 416859.391002323,231521.034001762 416848.668986313,231522.207985763 416841.082010306,231533.306993774 416784.138010253,231516.790001758 416774.947002244,231505.721009748 416830.250010296,231504.026993747 416843.930010308,231502.243985745 416860.079994323,231501.471985744 416869.519994332,231500.774001743 416879.995994342,231500.238993743 416890.718010352,231500.023985743 416902.035994363,231499.785009743 416911.047002371)))",지하차도,26,대전광역시 서구 ,36710065,35410,만년지하차도,540,9512.63,0,0,0,0,0,0,6,1
"MULTIPOLYGON (((231592.174001829 416846.467994311,231585.485009822 416840.463994305,231577.981009815 416833.836986299,231571.535985809 416828.483002294,231565.326001804 416823.515002289,231558.794993798 416818.623994285,231545.446001785 416836.914010302,231551.12600179 416841.126010306,231555.570001795 416844.694010309,231559.385009798 416847.802010312,231564.946993803 416852.535002316,231574.487985812 416861.128986324,231583.958001821 416869.895994333,231591.967985828 416877.303002339,231608.839985844 416892.319002353,231621.178001856 416903.267002364,231636.055985869 416916.807002376,231648.926001881 416928.587002387,231660.521105892 416939.203130397,231661.116081893 416939.748122398,231755.494065981 417028.33113048,231762.655089987 417035.378106487,231772.884081997 417045.288090496,231785.279122008 417057.268122507,231797.23608202 417068.986074518,231808.72411403 417080.045114528,231819.44811404 417090.698106538,231830.11109005 417101.025082548,231840.61406606 417111.228090557,231850.040114069 417120.238106566,231860.814098079 417130.654106575,231865.422130083 417135.12908258,231865.539122083 417103.52709855,231851.12811407 417089.658074537,231833.112114053 417072.136122521,231811.893138033 417051.589114502,231792.437074015 417032.825082484,231771.377073996 417012.398074465,231693.894097923 416939.324090397,231678.223985909 416924.546010384,231664.402001896 416911.939994372,231653.687985886 416902.199994363,231640.578001874 416890.307002352,231626.831985861 416877.87801034,231615.883985851 416867.927994331,231606.042993842 416858.999994322,231597.170001833 416851.063002315,231592.174001829 416846.467994311)))",지하차도,27,대전광역시 서구 ,36710065,35409,계룡지하차도,472,9716.17,0,0,24.5,0,0,0,8,1
"MULTIPOLYGON (((230823.87512207 416760.832092285,230823.885070801 416759.731079102,230770.77911377 416759.992126465,230708.19909668 416760.188110352,230654.234130859 416760.141113281,230611.312072754 416760.300109863,230520.294128418 416760.439086914,230484.646118164 416760.49407959,230482.298095703 416760.382080078,230403.720092773 416759.997070312,230330.74810791 416759.681091309,230280.240112305 416759.510070801,230233.802124023 416759.353088379,230231.012084961 416759.336120605,230231.012084961 416760.057128906,230230.926086426 416783.16809082,230230.911071777 416783.868103027,230278.864074707 416784.040100098,230303.547119141 416784.113098145,230375.805114746 416784.327087402,230461.142089844 416784.689086914,230483.77911377 416784.811096191,230520.208129883 416784.82409668,230612.614074707 416784.857116699,230647.034118652 416784.972106934,230700.313110352 416784.861083984,230748.488098145 416784.590087891,230792.957092285 416784.315124512,230824.503112793 416784.259094238,230824.506103516 416784.12512207,230824.504089355 416783.394104004,230823.87512207 416760.832092285)))",지하차도,28,대전광역시 유성구 ,36710064,18326,진터지하차도,593,14542.67,98.58,2389.08,7.6,5.3,24.3,24.3,10,1
"MULTIPOLYGON (((232311.368 417906.445,232385.825 418008.176,232401.46 418029.392,232417.989 418051.674,232423.076 418058.531,232442.904 418083.715,232458.035 418102.041,232469.733 418115.405,232476.75 418123.699,232489.992 418111.615,232484.781 418105.821,232471.315 418090.331,232454.072 418069.128,232442.001 418053.897,232440.411 418051.758,232425.331 418031.467,232413.349 418015.33,232400.017 417997.111,232317.532 417885.354,232311.474 417877.737,232301.708 417865.457,232291.29 417853.467,232282.125 417842.761,232274.852 417834.595,232266.309 417825.07,232255.106 417813.251,232242.978 417800.951,232229.87 417788.113,232227.924 417786.139,232216.625 417800.028,232217.787 417801.023,232228.065 417811.134,232238.751 417821.808,232248.733 417832.193,232251.802 417835.488,232257.154 417841.231,232264.804 417849.728,232272.357 417858.177,232280.752 417868.003,232292.864 417882.641,232299.242 417890.509,232303.928 417896.28,232311.368 417906.445)))",지하차도,29,대전광역시 서구 ,36710055,45503,갑천지하차도,420,7394.04,0,0,4.5,0,0,0,4,1
"MULTIPOLYGON (((229166.892111818 418811.40760973,229166.892089844 418811.414123535,229194.741088867 418811.414123535,229292.50012207 418811.844116211,229425.489074707 418811.821105957,229425.566101074 418789.118103027,229292.806091309 418789.071105957,229166.970092773 418788.890075684,229105.230102539 418788.800109863,229105.25012207 418811.640075684,229151.770080566 418811.410095215,229166.892111818 418811.40760973)))",지하차도,30,대전광역시 유성구 ,36710053,35417,월드컵지하차도,320,7260.18,0,0,5,0,0,0,8,1
"MULTIPOLYGON (((228906.360107422 420534.050109863,228885.640075684 420523.600097656,228876.850097656 420540.810119629,228872.550109863 420549.430114746,228871.120117188 420552.290100098,228865.510070801 420562.780090332,228864.92010498 420563.900085449,228859.490112305 420573.710083008,228854.580078125 420582.370117188,228847.980102539 420593.330078125,228842.120117188 420603.210083008,228836.480102539 420611.910095215,228830.910095215 420620.950073242,228822.350097656 420633.450073242,228810.320129395 420651.560119629,228795.550109863 420673.110107422,228772.440124512 420706.25012207,228791.320129395 420719.710083008,228803.760070801 420702.00012207,228816.470092773 420683.610107422,228829.890075684 420664.130126953,228847.590087891 420637.160095215,228853.090087891 420629.930114746,228862.680114746 420613.630126953,228866.570129395 420607.070129395,228879.310119629 420585.510070801,228894.310119629 420558.090087891,228906.360107422 420534.050109863)))",지하차도,31,대전광역시 유성구 ,36710043,35408,노은지하차도,508,5025.71,0,0,0,0,0,0,6,1
"MULTIPOLYGON (((228730.730102539 420806.550109863,228711.690124512 420793.400085449,228711.590087891 420793.520080566,228697.930114746 420812.760070801,228689.660095215 420824.50012207,228667.560119629 420856.140075684,228648.390075684 420883.280090332,228629.030090332 420911.42010498,228627.620117188 420913.480102539,228620.720092773 420923.990112305,228619.050109863 420926.530090332,228612.650085449 420936.310119629,228606.340087891 420946.570129395,228615.790100098 420952.200073242,228625.950073242 420958.730102539,228639.700073242 420937.630126953,228652.75012207 420918.760070801,228667.550109863 420897.270080566,228695.050109863 420857.75012207,228711.460083008 420834.400085449,228726.600097656 420812.850097656,228730.730102539 420806.550109863)))",지하차도,32,대전광역시 유성구 ,36710043,35408,노은지하차도,508,4357.09,0,0,0,0,0,0,6,1
"MULTIPOLYGON (((229157.410095215 421617.180114746,229156.130126953 421614.510070801,229148.130126953 421616.00012207,229149.490112305 421618.680114746,229157.400085449 421634.230102539,229160.890075684 421641.100097656,229162.550109863 421644.370117188,229169.770080566 421642.990112305,229168.210083008 421639.730102539,229157.450073242 421617.280090332,229157.410095215 421617.180114746)))",지하차도,33,대전광역시 유성구 ,36710043,14018,,31.5,236.36,0,0,5,0,0,0,2,1
