"DST_YR","DST_TYPE_CD","DST_SN","RGN_CD","FLDN_SITU_SN","FLDN_BGNG_DT","FLSU_EXPC_DT","FLDN_HR_HR","FLDN_HR_MIN","FLDN_BFR_AREA","FLDN_RCFILD_AREA","FLDN_CTY_AREA","FLDN_BLDG_VILAGE_CNT","FLSU_BFR_AREA","FLSU_RCFILD_AREA","FLSU_CTY_AREA","FLSU_BLDG_VILAGE_CNT","DAM_DT","DAM_RGN_DONG_CD","DAM_RGN_DADDR","DAM_FACTR_CD","VLD_DTIN_SE","WRTR_ID","WRT_DT","MDFR_ID","MDFCN_DT","MAAS_OBNT_DT"
"재해연도","재해유형코드","재해일련번호","지역코드","침수상황일련번호","침수시작일시","퇴수예상일시","침수시간시간","침수시간분","침수전면적","침수답면적","침수도시면적","침수건물동수","퇴수전면적","퇴수답면적","퇴수도시면적","퇴수건물동수","피해일시","피해지역행정동코드","피해지역상세주소","피해요인코드","유효데이터구분","작성자아이디","작성일시","수정자아이디","수정일시","행정안전부입수일시"
"2012","001010","20","2820000000","5","2012/07/27 14:30:00","2012/07/27 15:30:00","1","0","0","0","0.2","0","0","0","0","0","2012/08/01 14:48:00","2820067000","711","018001","D","2820013001","2012/08/01 14:50:00","2820013001","2012/08/01 14:50:00","2012/08/01 23:32:59"
"2012","001010","20","2823700000","1","2012/07/27 14:30:00","2012/07/27 15:30:00","1","0","0","0","0.2","0","0","0","0","0","2012/08/01 14:49:00","2823764100","","018999","U","282370S1","2012/08/01 14:51:00","282370S1","2012/08/01 14:51:00","2012/08/01 23:32:59"
"2012","001010","20","2823700000","2","2012/07/27 14:30:00","2012/07/27 15:30:00","1","0","0","0","0.2","0","0","0","0","0","2012/08/01 14:49:00","2823764100","","018001","V","282370S1","2012/08/01 14:51:00","282370S1","2012/08/01 14:51:00","2012/08/01 23:32:59"
"2012","001010","20","3611000000","1","2012/07/27 14:30:00","2012/07/27 15:30:00","1","0","0","0","0.2","0","0","0","0","0","2012/07/27 14:30:00","3611025000","","018001","V","3611013001","2012/08/01 14:52:00","3611013001","2012/08/01 14:52:00","2012/08/01 23:32:59"
"2012","001010","20","2629000000","1","2012/07/27 14:30:00","2012/07/27 15:30:00","1","0","0.2","0","0","0","0","0","0","0","2012/08/01 14:53:00","2629068000","756번지","018001","V","2629013001","2012/08/01 14:54:00","2629013001","2012/08/01 14:54:00","2012/08/01 23:32:59"
"2012","001010","20","2915500000","1","2012/07/27 14:30:00","2012/07/27 15:30:00","1","0","0","0","0.2","0","0","0","0","0","2012/08/01 14:54:00","2915554500","","018001","V","291550S1","2012/08/01 14:55:00","291550S1","2012/08/01 14:55:00","2012/08/01 23:32:59"
"2012","001010","20","2817000000","1","2012/07/27 14:30:00","2012/07/27 15:30:00","1","0","0","0","0.2","0","0","0","0","0","2012/08/01 14:55:00","2817051000","","018001","V","281700S1","2012/08/01 14:56:00","281700S1","2012/08/01 14:56:00","2012/08/01 23:32:59"
"2012","001010","20","2638000000","1","2012/08/01 14:30:00","2012/08/01 15:30:00","1","0","0","0","0.2","0","0","0","0","0","2012/08/01 14:30:00","2638058000","부산시 사하구 장림동 100번지","018001","V","263800S1","2012/08/01 14:56:00","263800S1","2012/08/01 14:56:00","2012/08/01 23:32:59"
"2012","001010","20","2920000000","1","2012/07/27 14:30:00","2012/07/27 15:30:00","1","0","0","0","0","0","0","0","0","0","2012/08/01 14:58:00","2920051500","684번지","018001","U","2920009001","2012/08/01 14:59:00","2920009001","2012/08/01 15:00:00","2012/08/01 23:32:59"
"2012","001010","20","2920000000","3","2012/07/27 14:30:00","2012/07/27 15:30:00","1","0","0","0","0.2","0","0","0","0","0","2012/08/01 14:58:00","2920051500","684번지","018001","V","2920009001","2012/08/01 15:00:00","2920009001","2012/08/01 15:00:00","2012/08/01 23:32:59"
"2012","001010","20","2920000000","2","2012/07/27 14:30:00","2012/07/27 15:30:00","1","0","0","0","0.2","0","0","0","0.2","0","2012/08/01 14:58:00","2920051500","684번지","018001","U","2920009001","2012/08/01 15:00:00","2920009001","2012/08/01 15:00:00","2012/08/01 23:32:59"
"2012","001010","20","4483000000","1","2012/07/27 14:30:00","2012/07/27 15:30:00","1","0","0","0","0.2","0","0","0","0","0","2012/08/01 14:58:00","4483025000","","018001","V","4483013001","2012/08/01 14:59:00","4483013001","2012/08/01 14:59:00","2012/08/01 23:32:59"
"2012","001010","20","4885000000","1","2012/07/27 14:30:00","2012/07/27 15:30:00","1","0","0","0","0.2","0","0","0","0.2","0","2012/08/01 15:02:00","4885025000","150-3","018001","V","4885009001","2012/08/01 15:03:00","4885009001","2012/08/01 15:03:00","2012/08/01 23:32:59"
