"DONG_CD","STATS_VL","DTA_UNIT_NM","ORGNL_PATH_CN","REG_DT","MDFCN_DT","YR"
"행정동코드","통계값","데이터단위명","원본경로내용","등록일시","수정일시","연도"
"3017000000","13394","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:30","2024/02/19 09:59:31","2020"
"3020000000","5919","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:30","2024/02/19 09:59:31","2020"
"3023000000","7886","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:31","2024/02/19 09:59:31","2020"
"3100000000","21162","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:32","2024/02/19 09:59:31","2020"
"3111000000","4933","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:32","2024/02/19 09:59:31","2020"
"3114000000","5786","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:33","2024/02/19 09:59:31","2020"
"3117000000","2972","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:33","2024/02/19 09:59:31","2020"
"3120000000","2963","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:34","2024/02/19 09:59:31","2020"
"3171000000","4508","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:34","2024/02/19 09:59:31","2020"
"3611000000","4450","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:35","2024/02/19 09:59:31","2020"
"4100000000","251516","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:36","2024/02/19 09:59:31","2020"
"4111000000","18023","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:36","2024/02/19 09:59:31","2020"
"4113000000","18829","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:37","2024/02/19 09:59:31","2020"
"4115000000","13037","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:37","2024/02/19 09:59:31","2020"
"4117000000","8201","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:38","2024/02/19 09:59:31","2020"
"4119000000","17514","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:38","2024/02/19 09:59:31","2020"
"4121000000","5593","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:39","2024/02/19 09:59:31","2020"
